Site,Date,Temperature,Conductivity,Dissolved_Oxygen,pH,Time On,Time Off,Depth Sampled
Bay_Intake_Surface,4/22/2016,13.92,425,7.17,8.33,9:30,,
Bay_Intake,4/22/2016,13.92,425,6.77,8,9:30,,1
Clemons_Surface,4/22/2016,13.38,514,9.31,9.25,10:45,,
Clemons,4/22/2016,13.04,517,7.43,7.34,10:45,,1
Sandusky_River,4/22/2016,15.69,597,9.52,8.61,11:45,,0.5
Clemons_Surface,4/30/2016,12.19,510,5.04,10.14,11:20,,
Clemons,4/30/2016,12.04,511,4.85,10.05,11:20,,1
Bay_Intake_Surface,5/9/2016,15.31,424,0.27,10.07,7:45,,
Bay_Intake,5/9/2016,15.29,425,0.25,10.09,7:45,,1
Clemons_Surface,5/9/2016,15.85,406,0.26,9.93,9:00,,
Clemons,5/9/2016,15.77,487,0.26,9.96,9:00,,1
Sandusky_River,5/9/2016,16.07,557,0.24,9.62,10:00,,0.5
Bay_Intake_Surface,5/19/2016,15.02,437,11.75,9.23,,,
Bay_Intake,5/19/2016,14.9,437,11.32,9.24,,,1
Clemons_Surface,5/19/2016,15.5,514,11.78,9.03,,,
Clemons,5/19/2016,14.97,512,11.64,9.18,,,1
Sandusky_River,5/19/2016,17.04,563,10.68,8.73,,,0.5
Bay_Intake_Surface,5/30/2016,25.03,457,9.38,9.14,2:15,,
Bay_Intake,5/30/2016,25.09,455,9.58,9.17,2:15,,1
Clemons_Surface,5/30/2016,27.35,496,12.92,9.51,3:03,,
Clemons,5/30/2016,25.25,494,13.42,9.52,3:03,,1
Sandusky_River,5/30/2016,26.49,649,14.34,9.12,3:51,,0.5
Bells,6/15/2016,,,,,2:00,2:33,1
EC_1163,6/15/2016,,,,,1:16,1:46,1
ODNR_1,6/15/2016,,,,,12:23,12:45,1
ODNR_2,6/15/2016,,,,,11:47,12:03,1
ODNR_6,6/15/2016,,,,,10:55,11:10,1
ODNR_4,6/15/2016,,,,,9:30,10:05,1
Bells,6/22/2016,22.45,312,11.48,9.19,2:15,2:45,1
EC_1163,6/22/2016,23.37,301,10.88,8.88,1:29,1:54,1
ODNR_1,6/22/2016,24.2,360,10.99,9.35,12:36,,1
ODNR_2,6/22/2016,24.3,434,10.48,9.29,11:51,12:29,1
ODNR_6,6/22/2016,23.58,504,9.55,8.99,11:00,11:30,1
ODNR_4,6/22/2016,23.55,583,9.22,8.93,9:51,10:30,1
Bells,7/6/2016,24.71,295,12.29,9.62,2:00,2:38,1
EC_1163,7/6/2016,24.88,344,12.6,9.75,1:09,1:46,1
ODNR_1,7/6/2016,24.85,415,11.74,9.7,12:21,12:47,1
ODNR_2,7/6/2016,24.77,426,11.89,9.77,11:40,,1
ODNR_6,7/6/2016,24.21,539,10.98,9.56,10:16,,1
ODNR_4,7/6/2016,24.59,613,11.85,9.22,9:25,10:00,1
Bells,7/11/2016,26.08,298,11.38,9.57,1:10,1:35,1
EC_1163,7/11/2016,27.01,362,12.05,9.74,12:30,1:00,1
ODNR_1,7/11/2016,25.65,355,10.91,9.74,11:43,12:05,1
ODNR_2,7/11/2016,25.86,441,10.97,9.65,11:05,11:34,1
ODNR_6,7/11/2016,25.15,533,10.28,9.52,10:11,10:50,1
ODNR_4,7/11/2016,25.42,574,10.03,9.49,9:23,9:57,1
Bells,7/25/2016,25.87,279,10.24,9.66,2:27,3:00,1
EC_1163,7/25/2016,26.95,369,8.77,9.2,1:37,2:07,1
ODNR_1,7/25/2016,27.05,395,8.94,9.5,1:00,1:30,1
ODNR_2,7/25/2016,27.28,433,9.05,9.39,12:25,12:54,1
ODNR_6,7/25/2016,26.98,529,9.25,9.78,11:32,12:00,1
ODNR_4,7/25/2016,26.91,564,7.78,9.77,9:28,10:10,1
Bells,7/27/2016,26.9,279,11.39,9.6,2:08,2:50,1
EC_1163,7/27/2016,26.92,334,11.63,9.62,1:21,1:58,1
ODNR_1,7/27/2016,27.12,367,10.1,9.4,12:37,1:13,1
ODNR_2,7/27/2016,27.45,399,9.85,9.72,11:42,12:30,1
ODNR_6,7/27/2016,27.07,521,12.23,10,10:47,11:30,1
ODNR_4,7/27/2016,26.88,555,9.74,10.02,9:32,10:25,1
Bells,8/3/2016,27.77,284,9.63,9.52,2:52,3:18,1
EC_1163,8/3/2016,28.25,301,10.5,9.74,2:17,2:40,1
ODNR_1,8/3/2016,28.28,324,10.35,9.64,1:01,,1
ODNR_2,8/3/2016,28.16,415,9.26,9.58,12:31,12:53,1
ODNR_6,8/3/2016,27.95,515,10.38,9.83,10:40,11:04,1
ODNR_4,8/3/2016,27.47,497,9.74,10,9:22,10:05,1
Bells,8/17/2016,26.22,279,9.4,9.72,1:52,,1
EC_1163,8/17/2016,25.69,305,8.67,9.58,12:35,1:04,1
ODNR_1,8/17/2016,25.86,374,10.38,10.07,11:54,12:18,1
ODNR_2,8/17/2016,25.63,423,9.49,10,11:07,11:44,1
ODNR_6,8/17/2016,25.18,455,8.65,9.87,10:02,10:41,1
ODNR_4,8/17/2016,24.93,530,8.04,9.91,9:10,9:50,1
Bells,8/31/2016,25.72,281,12.76,9.95,1:40,,1
EC_1163,8/31/2016,26.2,332,11.92,9.93,1:10,,1
ODNR_1,8/31/2016,26.29,579,11.35,10.06,12:25,,1
ODNR_2,8/31/2016,26.24,398,10.95,10.02,11:42,,1
ODNR_6,8/31/2016,25.87,502,8.16,10.02,10:49,,1
ODNR_4,8/31/2016,,,,,,,1
