Date,Time,Site,Unit ID,User ID,°C-19D104366,mmHg-19G101790,DO %-17C105036,DO %L-17C105036,DO mg/L-17C105036,SPC-uS/cm-19D104366,C-uS/cm-19D104366,nLFC-uS/cm-19D104366,TDS mg/L-19D104366,SAL-PSU-19D104366,pH-17C104424,pH mV-17C104424,NTU-15D102653,TSS mg/L-15D102653,Phycocyanin RFU-15B101563,Phycocyanin ug/L-15B101563,Chlorophyll RFU-15B101563,Chlorophyll ug/L-15B101563,Wiper V-15D102606,Cable V-19G101790,Batt V-19G101790,ALT m-19G101790,Lat-19G101790,Lon-19G101790
9/19/2023,9:59:25 AM,A1_MuddyCreek,,,19.61,748.2,112.1,115.2,10.26,426.7,382.7,430.7,277,0.21,8.95,-142.3,40.82,0,2.91,3.03,17.84,71.33,1.194,12.2,0,99.9,89.99999,180
9/19/2023,10:26:56 AM,A2_ODNR4,,,20.242,748.1,101.2,103.9,9.14,359.5,326.8,362.5,234,0.17,9.2,-156.9,45.69,0,3.23,3.38,18.58,74.29,1.194,12.2,0,99.9,89.99999,180
9/19/2023,10:48:41 AM,A3_ODNR6,,,20.178,748.1,85.2,87.6,7.71,509.4,462.4,513.7,331,0.25,8.75,-131.6,17.22,0,2.84,2.96,6.83,27.28,1.194,12.2,0,99.9,89.99999,180
9/19/2023,11:10:26 AM,A4_Bridge,,,20.248,748.2,97.6,100.3,8.82,401.7,365.2,405.1,261,0.19,9.01,-146.1,20.2,0,3.66,3.82,11.16,44.58,1.194,12.2,0,99.9,89.99999,180
9/19/2023,11:40:46 AM,A5_ODNR2,,,20.788,748.3,110.4,113.5,9.87,464.9,427.5,468.5,302,0.22,9.15,-154.6,11.01,0,4.61,4.82,6.59,26.32,1.194,12.2,0,99.9,89.99999,180
9/19/2023,12:03:29 PM,A6_Buoy2,,,20.743,748.2,113.2,116.3,10.13,450.6,414,454,293,0.22,9.08,-150.5,12.89,0,4.91,5.13,7.39,29.51,1.194,12.2,0,99.9,89.99999,180
9/19/2023,12:17:56 PM,A7_ODNR1,,,20.79,748,98.3,101,8.79,429.7,395.1,432.9,279,0.21,8.95,-143.1,10.04,0,3.29,3.43,5.81,23.19,1.194,12.2,0,99.9,89.99999,180
9/19/2023,12:38:25 PM,A8.1_EC1163,,,20.98,748,103.9,106.8,9.26,377.1,348.1,379.9,245,0.18,8.9,-140.4,7.03,0,2.43,2.54,6.61,26.38,1.194,12.2,0,99.9,89.99999,180
9/19/2023,1:32:00 PM,A8_Causeway,,,20.878,748,108.1,111,9.65,349.6,322,352.2,227,0.17,8.94,-142.6,10.2,0,1.72,1.79,4.44,17.72,1.207,12.2,0,99.9,89.99999,180
9/19/2023,1:14:14 PM,A9_Bells,,,21.67,747.9,100.9,103.7,8.88,276.2,258.6,277.9,180,0.13,8.68,-127.9,0.21,0,0.43,0.43,1.92,7.61,1.207,12.2,0,99.9,89.99999,180
