site,date,rep,TSS
Bridge,5/30/2023,1,22.5
Bridge,5/30/2023,2,21.5
EC_1163,5/30/2023,1,15.5
EC_1163,5/30/2023,2,16.0
Causeway,5/30/2023,1,11.0
Causeway,5/30/2023,2,13.5
Bells,5/30/2023,1,5.5
Bells,5/30/2023,2,9.0
ODNR_1,5/30/2023,1,9.0
ODNR_1,5/30/2023,2,17.5
Buoy_2,5/30/2023,1,4.0
Buoy_2,5/30/2023,2,10.5
ODNR_2,5/30/2023,1,21.0
ODNR_2,5/30/2023,2,19.5
ODNR_6,5/30/2023,1,33.5
ODNR_6,5/30/2023,2,29.0
ODNR_4,5/30/2023,1,29.5
ODNR_4,5/30/2023,2,17.0
Muddy_Creek,5/30/2023,1,49.0
Muddy_Creek,5/30/2023,2,54.0
Muddy_Creek,6/6/2023,1,51.5
Muddy_Creek,6/6/2023,2,41.0
ODNR_4,6/6/2023,1,22.5
ODNR_4,6/6/2023,2,21.0
ODNR_6,6/6/2023,1,29.5
ODNR_6,6/6/2023,2,33.5
Bridge,6/6/2023,1,21.5
Bridge,6/6/2023,2,21.0
ODNR_2,6/6/2023,1,16.5
ODNR_2,6/6/2023,2,19.5
Buoy_2,6/6/2023,1,18.5
Buoy_2,6/6/2023,2,22.5
ODNR_1,6/6/2023,1,10.5
ODNR_1,6/6/2023,2,14.5
EC_1163,6/6/2023,1,10.5
EC_1163,6/6/2023,2,11.0
Causeway,6/6/2023,1,11.5
Causeway,6/6/2023,2,10.5
Bells,6/6/2023,1,8.0
Bells,6/6/2023,2,8.0
Muddy_Creek,6/13/2023,1,433.5
ODNR_6,6/13/2023,1,38.5
ODNR_6,6/13/2023,2,39.5
ODNR_4,6/13/2023,1,45.0
ODNR_4,6/13/2023,2,45.5
Bridge,6/13/2023,1,38.5
Bridge,6/13/2023,2,40.0
ODNR_2,6/13/2023,1,50.5
ODNR_2,6/13/2023,2,77.5
Buoy_2,6/13/2023,1,46.0
Buoy_2,6/13/2023,2,49.0
ODNR_1,6/13/2023,1,38.5
ODNR_1,6/13/2023,2,40.0
EC_1163,6/13/2023,1,19.5
EC_1163,6/13/2023,2,25.5
Causeway,6/13/2023,1,29.0
Causeway,6/13/2023,2,28.0
Bells,6/13/2023,1,9.5
Bells,6/13/2023,2,7.0
Muddy_Creek,6/20/2023,1,41.0
Muddy_Creek,6/20/2023,2,47.0
ODNR_4,6/20/2023,1,18.5
ODNR_4,6/20/2023,2,18.0
ODNR_6,6/20/2023,1,16.5
ODNR_6,6/20/2023,2,21.5
Bridge,6/20/2023,1,23.5
Bridge,6/20/2023,2,24.0
ODNR_2,6/20/2023,1,14.5
ODNR_2,6/20/2023,2,18.5
Buoy_2,6/20/2023,1,11.0
Buoy_2,6/20/2023,2,11.5
ODNR_1,6/20/2023,1,16.0
ODNR_1,6/20/2023,2,13.5
EC_1163,6/20/2023,1,6.0
EC_1163,6/20/2023,2,13.0
Causeway,6/20/2023,1,16.0
Causeway,6/20/2023,2,11.0
Muddy_Creek,6/27/2023,1,247.5
Muddy_Creek,6/27/2023,2,254.5
ODNR_4,6/27/2023,1,66.0
ODNR_4,6/27/2023,2,70.0
ODNR_6,6/27/2023,1,48.0
ODNR_6,6/27/2023,2,48.0
Bridge,6/27/2023,1,59.0
Bridge,6/27/2023,2,60.0
ODNR_2,6/27/2023,1,45.0
ODNR_2,6/27/2023,2,44.5
Buoy_2,6/27/2023,1,37.0
Buoy_2,6/27/2023,2,37.5
ODNR_1,6/27/2023,1,31.0
ODNR_1,6/27/2023,2,31.0
EC_1163,6/27/2023,1,23.5
EC_1163,6/27/2023,2,21.0
Causeway,6/27/2023,1,37.0
Causeway,6/27/2023,2,37.0
Bells,6/27/2023,1,10.5
Bells,6/27/2023,2,11.0
Muddy_Creek,7/11/2023,1,54.0
Muddy_Creek,7/11/2023,2,59.5
ODNR_4,7/11/2023,1,27.0
ODNR_4,7/11/2023,2,28.5
ODNR_6,7/11/2023,1,31.5
ODNR_6,7/11/2023,2,34.0
Bridge,7/11/2023,1,35.0
Bridge,7/11/2023,2,33.0
ODNR_2,7/11/2023,1,25.0
ODNR_2,7/11/2023,2,23.0
Buoy_2,7/11/2023,1,21.0
Buoy_2,7/11/2023,2,22.0
ODNR_1,7/11/2023,1,25.5
ODNR_1,7/11/2023,2,24.0
EC_1163,7/11/2023,1,19.5
EC_1163,7/11/2023,2,16.0
Causeway,7/11/2023,1,26.0
Causeway,7/11/2023,2,28.0
Bells,7/11/2023,1,4.5
Bells,7/11/2023,2,6.0
